,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
168,NO,NO,NO,NO,NO DIFFICULTY,11.8,FEMALE,0.5,Middle,Higher secondary+
172,YES,YES,NO,YES,HAVE DIFFICULTY,11.9,MALE,3.1,Poorest,Secondary
173,YES,NO,NO,NO,NO DIFFICULTY,12.4,MALE,25.4,Second,Secondary
174,YES,YES,NO,NO,NO DIFFICULTY,9.9,MALE,0.1,Poorest,Secondary
175,NO,YES,YES,NO,NO DIFFICULTY,10.4,MALE,1.3,Poorest,Primary
177,YES,NO,NO,NO,HAVE DIFFICULTY,10.7,MALE,2.9,Poorest,Secondary
178,YES,YES,YES,NO,NO DIFFICULTY,10.9,FEMALE,0.4,Poorest,Primary
179,YES,NO,NO,NO,NO DIFFICULTY,8.2,FEMALE,0.1,Poorest,Primary
181,YES,YES,NO,YES,HAVE DIFFICULTY,10.6,FEMALE,0.0,Poorest,Pre-primary or none
183,YES,YES,YES,NO,NO DIFFICULTY,14.6,FEMALE,27.8,Second,Secondary
186,YES,YES,NO,YES,HAVE DIFFICULTY,16.8,FEMALE,36.9,Poorest,Secondary
188,NO,YES,YES,NO,NO DIFFICULTY,9.1,FEMALE,0.2,Second,Secondary
190,NO,YES,YES,NO,NO DIFFICULTY,13.7,FEMALE,2.9,Poorest,Secondary
192,NO,YES,YES,NO,NO DIFFICULTY,10.8,FEMALE,1.8,Poorest,Higher secondary+
193,NO,YES,YES,NO,NO DIFFICULTY,10.5,FEMALE,3.3,Middle,Higher secondary+
194,YES,YES,NO,YES,HAVE DIFFICULTY,9.8,MALE,0.2,Poorest,Primary
195,YES,YES,NO,YES,HAVE DIFFICULTY,10.4,MALE,1.4,Second,Primary
198,YES,YES,NO,NO,HAVE DIFFICULTY,9.4,FEMALE,0.1,Poorest,Secondary
201,YES,YES,NO,YES,HAVE DIFFICULTY,9.7,MALE,0.6,Poorest,Secondary
203,YES,YES,NO,YES,NO DIFFICULTY,12.3,MALE,1.3,Poorest,Primary
205,YES,YES,YES,NO,NO DIFFICULTY,10.6,FEMALE,1.0,Poorest,Primary
206,NO,YES,YES,NO,NO DIFFICULTY,13.3,FEMALE,11.0,Poorest,Secondary
207,YES,YES,NO,NO,NO DIFFICULTY,13.4,MALE,11.7,Poorest,Secondary
208,NO,YES,YES,NO,NO DIFFICULTY,11.6,MALE,19.7,Poorest,Secondary
209,YES,YES,NO,YES,HAVE DIFFICULTY,11.4,MALE,0.9,Poorest,Higher secondary+
213,NO,YES,NO,YES,NO DIFFICULTY,11.3,MALE,0.7,Poorest,Primary
216,YES,YES,NO,NO,HAVE DIFFICULTY,11.6,MALE,2.2,Poorest,Primary
218,NO,NO,YES,NO,NO DIFFICULTY,11.5,MALE,0.1,Poorest,Primary
221,YES,NO,NO,NO,NO DIFFICULTY,15.6,FEMALE,49.1,Fourth,Higher secondary+
223,NO,YES,YES,NO,NO DIFFICULTY,14.8,MALE,17.9,Fourth,Secondary
224,YES,YES,YES,YES,HAVE DIFFICULTY,9.6,FEMALE,1.0,Second,Higher secondary+
225,YES,YES,NO,YES,NO DIFFICULTY,12.7,MALE,57.1,Richest,Higher secondary+
227,YES,YES,YES,NO,NO DIFFICULTY,15.0,FEMALE,19.3,Richest,Higher secondary+
229,YES,YES,NO,YES,NO DIFFICULTY,9.7,FEMALE,2.0,Richest,Higher secondary+
