UCD2A,UCD2C,UCD2D,UCD2G,UCD2H,UCD2I,UCD2J,UCD2K,UCF17,AN4,AN8,AN11,HH6,HL4,HAP,WAP,WHP,BMI,windex5,melevel
YES,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,11.4,86.59999999999999,RURAL,FEMALE,4.2,4.4,23.7,15.2,Fourth,Secondary
YES,NO,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,15.8,99.7,RURAL,FEMALE,3.4,19,62.2,15.9,Fourth,Secondary
,,,,,,,,,0,6.4,60.3,RURAL,MALE,1.6,16.8,82.5,17.6,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,17.1,104.1,RURAL,FEMALE,61.7,63.4,63.6,15.78,Middle,Primary
YES,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,13.6,89.40000000000001,RURAL,MALE,52.4,58.9,62.8,17.02,Middle,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,15.1,101.9,RURAL,MALE,73.8,35.9,20.6,14.54,Second,Secondary
YES,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,3,12.4,94.2,RURAL,MALE,24.2,5.2,6.7,13.97,Middle,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.7,89.2,RURAL,FEMALE,47.7,16.3,17.5,14.7,Second,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,,1,12.8,79.90000000000001,RURAL,MALE,78.40000000000001,97.7,97.5,20.05,Fourth,Higher secondary+
YES,YES,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,2,12.8,92.40000000000001,RURAL,MALE,41,17.7,19.8,14.99,Middle,Secondary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,,1,8.9,76.3,RURAL,FEMALE,4.8,4.3,13,15.29,Second,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,2,11.9,86.3,RURAL,MALE,42.2,26.1,32.2,15.98,Fourth,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,,1,10,77.90000000000001,RURAL,FEMALE,54.4,42.6,41,16.48,Richest,Higher secondary+
,,,,,,,,,0,8.300000000000001,69.90000000000001,RURAL,FEMALE,6.2,12.2,47.4,16.99,Middle,Primary
NO,NO,YES,NO,NO,NO,NO,NO,,1,11.2,78.90000000000001,RURAL,FEMALE,19.3,58.8,82.8,17.99,Fourth,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11,87.2,RURAL,FEMALE,20,5.3,11.6,14.47,Fourth,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13.9,104.4,RURAL,FEMALE,58.4,7.6,3.4,12.75,Fourth,Higher secondary+
,,,,,,,,,0,8.300000000000001,62.3,RURAL,MALE,.5,52.8,99.7,21.38,Fourth,Higher secondary+
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,12.3,88.40000000000001,RURAL,FEMALE,2.6,7,40.3,15.74,Fourth,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,9.300000000000001,82.40000000000001,RURAL,MALE,1,.1,1.7,13.7,Second,Secondary
NO,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,4,16.7,106.2,RURAL,MALE,26.4,20.5,30.1,14.81,Second,Primary
,,,,,,,,,0,7.2,65.5,RURAL,FEMALE,8.5,14.3,54.6,16.78,Fourth,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,12.9,98.40000000000001,RURAL,FEMALE,1.2,.7,6,13.32,Fourth,Higher secondary+
NO,NO,YES,YES,NO,YES,YES,NO,,1,8.199999999999999,78.7,RURAL,MALE,10.9,.3,.2,13.24,Middle,Higher secondary+
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,18.4,104.4,RURAL,MALE,73.59999999999999,84.40000000000001,81.5,16.88,Middle,Higher secondary+
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,9.699999999999999,81.09999999999999,RURAL,FEMALE,3.4,1.4,10.3,14.75,Poorest,Secondary
,,,,,,,,,0,4.4,59.4,RURAL,MALE,41.6,8.300000000000001,4.3,12.47,Second,Secondary
YES,YES,YES,NO,YES,YES,YES,YES,NO DIFFICULTY,3,8.300000000000001,81.09999999999999,RURAL,FEMALE,0,0,.5,12.62,Second,Secondary
,,,,,,,,,0,7.4,64.2,RURAL,FEMALE,16.5,46.9,81.90000000000001,17.95,Middle,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13,92.40000000000001,RURAL,MALE,0,.5,24.7,15.23,Fourth,Secondary
,,,,,,,,,0,8.5,69.90000000000001,RURAL,MALE,31.5,36,49,17.4,Middle,Secondary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
YES,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,2,10.6,85.2,RURAL,MALE,2.6,1.1,7.6,14.6,Fourth,Secondary
YES,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,3,13.5,95.8,RURAL,FEMALE,27.8,15.7,26.2,14.71,Richest,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.2,81.2,RURAL,FEMALE,.9,1.7,21.1,15.47,Richest,Higher secondary+
,,,,,,,,,0,7.1,64.90000000000001,RURAL,FEMALE,.5,2.8,58.6,16.86,Poorest,Secondary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.2,86.2,RURAL,MALE,32.2,9.1,14.1,15.07,Richest,Higher secondary+
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,14.2,106.4,RURAL,MALE,40.1,3.3,1.4,12.54,Fourth,Higher secondary+
,,,,,,,,,,,,RURAL,MALE,,,,,0,Secondary
YES,NO,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,2,12.9,88.5,RURAL,FEMALE,18.2,31.2,58.5,16.47,Richest,Secondary
,,,,,,,,,0,6.2,62.1,RURAL,MALE,0,.1,46.4,16.08,Second,Secondary
,,,,,,,,,0,7.1,66.59999999999999,RURAL,MALE,67.09999999999999,47.8,25.3,16.01,Middle,Secondary
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,2,11.2,89.09999999999999,RURAL,MALE,52,6.8,5.4,14.11,Richest,Secondary
,,,,,,,,,0,3.5,56.1,RURAL,FEMALE,94.7,32.9,2.3,11.12,Poorest,Primary
YES,YES,YES,NO,NO,YES,YES,NO,,1,8.300000000000001,80.8,RURAL,MALE,2.6,.1,.1,12.71,Richest,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,,1,8.9,79.3,RURAL,MALE,12.9,1.3,1.4,14.15,Second,Secondary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Primary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,16,100.4,RURAL,MALE,27.2,35.5,53.8,15.87,Second,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,9.699999999999999,83,RURAL,MALE,12.5,.7,3.2,14.08,Second,Secondary
NO,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,10.3,84.5,RURAL,MALE,11.5,1.6,5.7,14.43,Poorest,Higher secondary+
,,,,,,,,,0,3.3,53.4,RURAL,MALE,.5,.4,9,11.57,Middle,Pre-primary or none
YES,YES,YES,NO,YES,YES,YES,YES,NO DIFFICULTY,2,8.9,73.5,RURAL,FEMALE,0,.2,30.5,16.47,Middle,Pre-primary or none
,,,,,,,,,,,,RURAL,MALE,,,,,0,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,10.3,88.2,RURAL,FEMALE,5.7,.5,2.2,13.24,Middle,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,2,14.5,96.2,RURAL,MALE,84,60.3,41.9,15.67,Fourth,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.6,85,RURAL,MALE,15,2.9,8.1,14.67,Second,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,,1,8,75.8,RURAL,FEMALE,.4,.2,2,13.92,Second,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,11.9,100.9,RURAL,MALE,5.4,.1,.2,11.69,Second,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,11.9,92,RURAL,FEMALE,.1,.3,10.2,14.06,Second,Pre-primary or none
NO,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,10.3,87.7,RURAL,MALE,0,0,1.6,13.39,Richest,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,11.1,90.40000000000001,RURAL,FEMALE,.7,.3,4.7,13.58,Second,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,,1,8.4,75.5,RURAL,FEMALE,10.1,3.1,6.4,14.74,Richest,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,15.3,104.6,RURAL,FEMALE,63.6,27.7,18.4,13.98,Middle,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,19.9,104.1,RURAL,MALE,10.7,70,97.09999999999999,18.36,Second,Primary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Higher secondary+
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Higher secondary+
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Higher secondary+
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,11.2,87,RURAL,FEMALE,8,4.1,16.5,14.8,Second,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,16.6,112,RURAL,MALE,74.09999999999999,19.3,5,13.23,Richest,Pre-primary or none
YES,YES,YES,NO,NO,YES,YES,NO,,1,11,82.7,RURAL,MALE,17.2,17.8,30.1,16.08,Fourth,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.6,87.5,RURAL,FEMALE,30.5,15,24.1,15.15,Richest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,,1,8.6,77.59999999999999,RURAL,FEMALE,9.1,2.2,3.9,14.28,Middle,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,12.5,93.59999999999999,RURAL,FEMALE,12.8,5.2,14.7,14.27,Richest,Secondary
,,,,,,,,,0,5.6,59.1,RURAL,FEMALE,28.7,47.3,67.40000000000001,16.03,Richest,Primary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.8,89.09999999999999,RURAL,FEMALE,42.8,16.8,20.4,14.86,Fourth,Pre-primary or none
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,13.7,98.3,RURAL,MALE,7,3.8,11.5,14.18,Second,Pre-primary or none
,,,,,,,,,0,6.9,66.2,RURAL,MALE,5,3.4,21.6,15.74,Second,Secondary
,,,,,,,,,0,8.199999999999999,69.59999999999999,RURAL,FEMALE,19.2,21.8,46.4,16.93,Fourth,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.6,82.5,RURAL,FEMALE,7.2,6.5,25,15.57,Richest,Higher secondary+
,,,,,,,,,0,8.4,69.8,RURAL,FEMALE,12.7,21,53.9,17.24,Richest,Secondary
YES,YES,YES,NO,NO,YES,NO,NO,,1,9.199999999999999,76.90000000000001,RURAL,MALE,1.8,2,10.1,15.56,Fourth,Secondary
,,,,,,,,,0,8.300000000000001,66.8,RURAL,MALE,5.9,31.2,79.7,18.6,Second,Secondary
YES,YES,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,2,12.7,88.2,RURAL,MALE,27.7,28.6,44.9,16.33,Second,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,9.300000000000001,79.40000000000001,RURAL,FEMALE,2.4,1,9.4,14.75,Fourth,Higher secondary+
,,,,,,,,,0,5.8,60.6,RURAL,FEMALE,40.1,47.7,55.3,15.79,Fourth,Higher secondary+
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,15.7,106.4,RURAL,MALE,50.3,16.8,11.2,13.87,Fourth,Higher secondary+
YES,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,4,13.9,99.2,RURAL,MALE,1.5,1.5,11.4,14.13,Poorest,Primary
YES,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,4,14.7,101.6,RURAL,MALE,16.9,8.1,14.7,14.24,Fourth,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,,1,9.6,79.59999999999999,RURAL,FEMALE,33.6,14.9,14.5,15.15,Richest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,,1,9.300000000000001,81.3,RURAL,MALE,25.6,2.5,1.6,14.07,Middle,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,15.2,93.40000000000001,RURAL,MALE,51.2,70.90000000000001,77.90000000000001,17.42,Fourth,Secondary
YES,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,12.4,96.3,RURAL,MALE,32.1,3.9,3.2,13.37,Fourth,Secondary
NO,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,3,12.1,94.3,RURAL,FEMALE,40.2,6.2,6.7,13.61,Poorest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.1,78.59999999999999,RURAL,MALE,.3,1.4,27.7,16.35,Poorest,Primary
YES,YES,YES,NO,YES,YES,YES,NO,,1,9.6,79.8,RURAL,MALE,36.9,8.6,6.9,15.08,Fourth,Primary
YES,YES,YES,YES,NO,YES,YES,YES,NO DIFFICULTY,4,13.6,95.90000000000001,RURAL,FEMALE,5.5,6.9,28.3,14.79,Middle,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,,1,10.4,82.7,RURAL,FEMALE,64.09999999999999,32.2,21.1,15.21,Middle,Secondary
YES,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,9.4,89.8,RURAL,FEMALE,83.7,1,.1,11.66,Second,Primary
,,,,,,,,,0,5.7,60.1,RURAL,MALE,48.2,47.9,50.8,15.78,Middle,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,,1,8.800000000000001,74.59999999999999,RURAL,MALE,.5,1.1,12.4,15.81,Middle,Higher secondary+
YES,YES,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,4,12.1,96.7,RURAL,MALE,.8,.2,1.6,12.94,Middle,Primary
NO,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,2,11.2,88.3,RURAL,FEMALE,87.8,30.3,11.2,14.36,Fourth,Primary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
YES,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,10.9,87.40000000000001,RURAL,FEMALE,3.1,1.3,9.300000000000001,14.27,Second,Secondary
,,,,,,,,,0,5.6,59.2,RURAL,MALE,19.1,30.4,59.6,15.98,Second,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,,1,8.4,72.40000000000001,RURAL,FEMALE,2.2,4.1,23.6,16.03,Fourth,Higher secondary+
YES,NO,NO,NO,YES,YES,YES,NO,NO DIFFICULTY,4,14.9,105.2,RURAL,MALE,61.3,14.2,6.2,13.46,Fourth,Higher secondary+
YES,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,12.4,92.40000000000001,RURAL,FEMALE,13,6.3,18,14.52,Fourth,Secondary
NO,NO,YES,NO,NO,YES,YES,NO,,1,9.1,74.7,RURAL,FEMALE,3.9,8.800000000000001,30.7,16.31,Fourth,Higher secondary+
NO,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,3,14.6,99.2,RURAL,MALE,74.5,39.3,24.5,14.84,Middle,Secondary
,,,,,,,,,0,7.3,71.3,RURAL,MALE,72.8,12.8,1.8,14.36,Second,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,10.9,89.40000000000001,RURAL,MALE,1.5,.4,2.7,13.64,Middle,Secondary
,,,,,,,,,0,4.3,53.6,RURAL,FEMALE,43.9,65.7,71.2,14.97,Fourth,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.7,86.40000000000001,RURAL,FEMALE,27.7,5.6,9.300000000000001,14.33,Fourth,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,12.9,95.40000000000001,RURAL,FEMALE,4.8,3.1,14.8,14.17,Fourth,Secondary
YES,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,15.6,102.8,RURAL,FEMALE,23.7,22.2,35.7,14.76,Middle,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,,1,7.9,75.3,RURAL,FEMALE,11.5,1.2,2,13.93,Fourth,Secondary
YES,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,4,17.4,101.4,RURAL,MALE,6.7,35.7,79.59999999999999,16.92,Fourth,Secondary
YES,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,12.9,88.59999999999999,RURAL,FEMALE,59.5,57.1,57.9,16.43,Richest,Higher secondary+
YES,NO,YES,NO,NO,NO,NO,NO,,1,8.5,76.8,RURAL,FEMALE,16.7,3.4,4.4,14.41,Fourth,Secondary
,,,,,,,,,0,5.3,57.8,RURAL,FEMALE,49.4,67.8,70.09999999999999,15.86,Richest,Primary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,12.7,94.90000000000001,RURAL,FEMALE,47.1,12.9,13.2,14.1,Richest,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,,1,9.699999999999999,77.2,RURAL,MALE,3.2,5.9,22.9,16.28,Richest,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,99.3,,RURAL,FEMALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Fourth,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.6,82.59999999999999,RURAL,MALE,2.8,2.4,17.6,15.54,Middle,Pre-primary or none
,,,,,,,,,0,7.6,68.59999999999999,RURAL,MALE,40.9,24.8,22.6,16.15,Richest,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13.1,91.2,RURAL,MALE,.1,2.1,35.4,15.75,Middle,Secondary
,,,,,,,,,0,8.699999999999999,70.59999999999999,RURAL,FEMALE,34.9,42.3,58.3,17.45,Richest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,14.8,98.7,RURAL,FEMALE,11.6,17.4,43.1,15.19,Fourth,Higher secondary+
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,14.7,93.59999999999999,RURAL,MALE,28.7,46.7,65.40000000000001,16.78,Poorest,Primary
,,,,,,,,,0,8.1,67.59999999999999,RURAL,MALE,8,20.8,61.3,17.73,Second,Primary
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,10.9,95.3,RURAL,MALE,87.2,2.4,.2,12,Middle,Primary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Primary
YES,YES,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,13.2,93.09999999999999,RURAL,FEMALE,40.9,26.7,35.4,15.23,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.1,95.7,RURAL,FEMALE,33.6,12.3,17.4,14.3,Second,Primary
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,14.3,95.2,RURAL,FEMALE,33.9,37.5,53.8,15.78,Fourth,Primary
,,,,,,,,,0,6.9,61.6,RURAL,MALE,.7,13.9,86.09999999999999,18.18,Middle,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,,1,9.4,77.3,RURAL,MALE,2.1,2.8,12.9,15.73,Second,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,,1,11.1,82.2,RURAL,FEMALE,20.8,35,53.3,16.43,Second,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,7.7,73.7,RURAL,FEMALE,0,0,4.2,14.18,Poorest,Secondary
,,,,,,,,,0,7.6,63.9,RURAL,FEMALE,15.8,58.5,90.5,18.61,Middle,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,9.199999999999999,77.2,RURAL,MALE,.2,.2,11.9,15.44,Second,Secondary
NO,NO,YES,NO,NO,YES,YES,NO,,1,8.9,72.90000000000001,RURAL,FEMALE,8.300000000000001,14.1,39.8,16.75,Middle,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,4,15.1,104.9,RURAL,MALE,57.4,16.3,8.800000000000001,13.72,Middle,Secondary
,,,,,,,,,0,8,69.59999999999999,RURAL,MALE,48,33.4,28,16.51,Second,Primary
NO,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,14.9,98.2,RURAL,MALE,35,29.6,38.9,15.45,Second,Primary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,99.3,,RURAL,FEMALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Poorest,Secondary
,,,,,,,,,0,7.2,64.8,RURAL,MALE,4.7,13.3,57.6,17.15,Fourth,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,9.1,78.2,RURAL,MALE,.1,.1,6.8,14.88,Middle,Higher secondary+
YES,YES,YES,NO,NO,NO,NO,NO,,1,99.3,,RURAL,MALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Second,Primary
YES,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,3,11.3,94.90000000000001,RURAL,MALE,4,.3,.6,12.55,Second,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,,1,9.1,80.90000000000001,RURAL,FEMALE,12,2.2,2.9,13.9,Middle,Primary
NO,NO,YES,NO,NO,NO,NO,NO,,1,10.2,83.8,RURAL,FEMALE,39.7,13.6,10.6,14.52,Second,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,12.4,95.8,RURAL,MALE,4.8,1.2,3.9,13.51,Second,Secondary
NO,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,11.2,85.7,RURAL,MALE,13.3,5.9,16.3,15.25,Fourth,Secondary
,,,,,,,,,0,5.6,60.4,RURAL,MALE,6.9,9.9,39.6,15.35,Fourth,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,2,11.2,86.09999999999999,RURAL,FEMALE,12.6,7.1,21.1,15.11,Fourth,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,13.9,91.2,RURAL,FEMALE,4.2,23.1,68.3,16.71,Fourth,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,13,98.09999999999999,RURAL,FEMALE,8.199999999999999,2.4,7.6,13.51,Second,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,14.7,93.2,RURAL,FEMALE,18.7,48.7,75.40000000000001,16.92,Middle,Secondary
YES,YES,YES,NO,NO,NO,YES,NO,,1,9.1,96.59999999999999,RURAL,FEMALE,99.8,1.7,0,9.75,Second,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,13.9,97.2,RURAL,MALE,.5,1.6,19.7,14.71,Second,Secondary
YES,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,11.8,84.59999999999999,RURAL,MALE,5.8,11.6,41.6,16.49,Poorest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,11.8,93.90000000000001,RURAL,MALE,2.2,.6,2.7,13.38,Fourth,Secondary
,,,,,,,,,0,6.6,62.4,RURAL,FEMALE,11.1,27.7,70.5,16.95,Fourth,Secondary
YES,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,11.7,91.40000000000001,RURAL,FEMALE,10.7,2.8,9.1,14.01,Fourth,Higher secondary+
YES,YES,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,4,14.9,104.7,RURAL,FEMALE,33.5,11,11.7,13.59,Fourth,Higher secondary+
YES,NO,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,3,15.9,97.59999999999999,RURAL,MALE,40.3,57.3,70,16.69,Richest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,12.5,80.2,RURAL,MALE,0,12.9,84.40000000000001,19.43,Middle,Secondary
YES,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,14.6,98.5,RURAL,MALE,35.5,23.1,28.7,15.05,Fourth,Secondary
YES,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,12.4,94.59999999999999,RURAL,FEMALE,32.4,6.9,9.6,13.86,Middle,Primary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,13.5,94.3,RURAL,MALE,37.1,21.4,26.3,15.18,Fourth,Primary
,,,,,,,,,0,6.5,61.1,RURAL,MALE,73.8,87.59999999999999,77,17.41,Middle,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,15.4,105.6,RURAL,MALE,32.7,10.3,10.2,13.81,Middle,Secondary
,,,,,,,,,0,8.1,70.59999999999999,RURAL,FEMALE,14.6,11.1,29.3,16.25,Richest,Higher secondary+
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.2,101.3,RURAL,FEMALE,59.8,7.1,3.5,12.86,Richest,Higher secondary+
YES,YES,YES,NO,YES,YES,YES,NO,,1,7.3,70.40000000000001,RURAL,FEMALE,.2,.3,7,14.73,Second,Secondary
,,,,,,,,,0,6.6,65.09999999999999,RURAL,FEMALE,47.6,31.9,28.9,15.57,Middle,Secondary
,,,,,,,,,0,8.4,70.8,RURAL,MALE,95.7,86,31.6,16.76,Fourth,Higher secondary+
YES,YES,YES,NO,NO,NO,NO,NO,,1,9.800000000000001,78.3,RURAL,MALE,42.9,18.9,18.5,15.98,Fourth,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,SOME DIFFICULTY,3,11,83.40000000000001,RURAL,FEMALE,.1,1.2,31.9,15.81,Middle,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,11.1,90,RURAL,FEMALE,8.699999999999999,1.5,5.4,13.7,Second,Secondary
,,,,,,,,,0,7.1,63.6,RURAL,MALE,56.6,73.3,70.3,17.55,Fourth,Secondary
,,,,,,,,,0,7.5,71.2,RURAL,MALE,47.6,7.4,3.6,14.79,Fourth,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,14.8,91.2,RURAL,FEMALE,30.7,68.2,86.3,17.79,Fourth,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,14.3,97.90000000000001,RURAL,FEMALE,39.1,26.4,34.4,14.92,Second,Secondary
,,,,,,,,,0,4.8,60,RURAL,FEMALE,28.1,7.9,11.2,13.33,Richest,Secondary
,,,,,,,,,0,3.8,50.8,RURAL,FEMALE,.4,6.9,74.40000000000001,14.73,Second,Secondary
