UCD2A,UCD2C,UCD2D,UCD2G,UCD2H,UCD2I,UCD2J,UCD2K,UCF17,AN4,AN8,AN11,HH6,HL4,HAP,WAP,WHP,BMI,windex5,melevel
NO,YES,YES,NO,YES,NO,NO,NO,,1,8.300000000000001,78.09999999999999,RURAL,MALE,.9,.1,.4,13.61,Second,Pre-primary or none
NO,YES,YES,NO,NO,NO,NO,NO,,1,9.199999999999999,71.59999999999999,RURAL,MALE,1.6,11.1,60.3,17.95,Poorest,Secondary
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,3,13.8,92.7,RURAL,FEMALE,6,18,56.6,16.06,Poorest,Secondary
YES,YES,YES,NO,NO,NO,YES,YES,,1,9.699999999999999,75.8,RURAL,MALE,10.5,14.3,35.6,16.88,Middle,Higher secondary+
YES,YES,YES,NO,YES,NO,NO,NO,,1,8.199999999999999,76.7,RURAL,FEMALE,3.7,.8,2.1,13.94,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.1,84.59999999999999,RURAL,MALE,22.3,.5,.1,12.71,Poorest,Primary
NO,YES,YES,NO,NO,NO,NO,NO,,1,7.7,69.8,RURAL,FEMALE,.5,1.3,21.6,15.8,Poorest,Primary
NO,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,4,18.4,108.5,RURAL,MALE,72.5,66.09999999999999,54.9,15.63,Poorest,Higher secondary+
YES,YES,YES,NO,NO,YES,YES,YES,,1,13.3,81.8,RURAL,MALE,51.1,94.7,97.90000000000001,19.88,Poorest,Primary
,,,,,,,,,0,7.1,63.8,RURAL,FEMALE,60.3,79.8,74.59999999999999,17.44,Poorest,Secondary
,,,,,,,,,0,8.1,71.2,RURAL,FEMALE,70.5,39.4,23.3,15.98,Middle,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,11.9,97.8,RURAL,MALE,1.2,.1,.7,12.44,Poorest,Higher secondary+
YES,YES,YES,YES,NO,YES,YES,YES,NO DIFFICULTY,4,16.3,102.4,RURAL,MALE,19,25.6,47.2,15.54,Richest,Primary
,,,,,,,,,0,6.7,62.7,RURAL,FEMALE,14.4,33.2,71.09999999999999,17.04,Poorest,Primary
YES,YES,YES,NO,YES,YES,YES,YES,NO DIFFICULTY,2,8.9,77.59999999999999,RURAL,MALE,.2,.1,5.9,14.78,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,2,9.199999999999999,83.59999999999999,RURAL,MALE,6.5,.1,.7,13.16,Second,Pre-primary or none
NO,NO,YES,NO,YES,NO,NO,NO,,1,12.7,88.7,RURAL,MALE,80.3,65.09999999999999,50.1,16.14,Middle,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,12.4,97.2,RURAL,MALE,9.800000000000001,1.3,2.3,13.12,Poorest,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,12.6,96.8,RURAL,MALE,8.300000000000001,1.7,3.8,13.45,Poorest,Secondary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,3,11.5,91.3,RURAL,MALE,12.5,2.1,4.1,13.8,Poorest,Secondary
YES,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,4,15.3,98.40000000000001,RURAL,MALE,3.3,11.8,49.2,15.8,Second,Higher secondary+
,,,,,,,,,0,7.6,71.2,RURAL,MALE,13.3,1.8,4.8,14.99,Poorest,Primary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.199999999999999,88.40000000000001,RURAL,FEMALE,98.5,6.7,.1,11.77,Second,Primary
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,3,13.8,94.59999999999999,RURAL,FEMALE,25.8,24.7,43.3,15.42,Second,Secondary
YES,YES,YES,NO,NO,NO,NO,YES,NO DIFFICULTY,3,14.3,96.09999999999999,RURAL,FEMALE,28.3,29.4,47.7,15.48,Fourth,Higher secondary+
YES,YES,YES,NO,NO,YES,YES,YES,,1,7.4,72.8,RURAL,FEMALE,.1,.1,2.1,13.96,Second,Pre-primary or none
YES,YES,YES,NO,NO,YES,NO,YES,A LOT OF DIFFICULTY,3,11.6,87.40000000000001,RURAL,FEMALE,.1,.8,24.7,15.19,Second,Pre-primary or none
NO,YES,YES,NO,YES,NO,NO,NO,,1,12.2,84.59999999999999,RURAL,FEMALE,36.8,64.09999999999999,78.2,17.05,Middle,Secondary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,12,88.3,RURAL,MALE,2.9,4.3,22.3,15.39,Middle,Secondary
YES,YES,YES,YES,YES,YES,YES,YES,,1,8.699999999999999,78.3,RURAL,FEMALE,12.3,2.6,3.6,14.19,Second,Primary
YES,YES,YES,NO,NO,NO,NO,YES,,1,10.4,79.09999999999999,RURAL,MALE,.7,5.6,35.2,16.62,Second,Secondary
,,,,,,,,,0,4.6,63.8,RURAL,MALE,43.3,1.2,.1,11.3,Poorest,Secondary
YES,YES,YES,NO,NO,YES,YES,YES,SOME DIFFICULTY,2,12.4,88.7,RURAL,FEMALE,16.2,17.9,41.5,15.76,Richest,Secondary
YES,YES,YES,YES,NO,YES,YES,YES,NO DIFFICULTY,3,13.4,96.5,RURAL,FEMALE,11.4,7,20,14.39,Second,Secondary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,4,15.8,103.4,RURAL,FEMALE,39.5,31.4,36.7,14.78,Second,Primary
NO,YES,YES,NO,YES,NO,NO,NO,,1,8,75.09999999999999,RURAL,MALE,.8,.2,1.1,14.18,Poorest,Primary
NO,YES,YES,NO,YES,NO,NO,NO,A LOT OF DIFFICULTY,4,14.3,98.59999999999999,RURAL,FEMALE,17.8,14.3,29.7,14.71,Second,Secondary
,,,,,,,,,0,7.4,70,RURAL,MALE,31,6.2,6.4,15.1,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,YES,SOME DIFFICULTY,2,11.2,87.40000000000001,RURAL,MALE,36,7.3,9.6,14.66,Second,Primary
YES,YES,YES,YES,YES,YES,YES,YES,NO DIFFICULTY,3,13,98.40000000000001,RURAL,FEMALE,22.9,4.3,6.9,13.43,Middle,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.2,88,RURAL,MALE,9.5,2.7,7.9,14.46,Poorest,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,2,10.8,84.59999999999999,RURAL,MALE,4.4,2.4,12.8,15.09,Second,Primary
YES,YES,YES,YES,NO,NO,NO,NO,SOME DIFFICULTY,4,12.5,94.90000000000001,RURAL,FEMALE,3.6,1.8,10.1,13.88,Second,Primary
,,,,,,,,,0,6.4,61.8,RURAL,MALE,46.1,57.3,62.3,16.76,Middle,Secondary
YES,YES,YES,NO,NO,YES,YES,YES,NO DIFFICULTY,4,15.2,99.7,RURAL,MALE,7.4,11.9,36.6,15.29,Poorest,Primary
YES,YES,YES,NO,YES,NO,NO,NO,CANNOT LEARN THINGS AT ALL,3,10.6,92.8,RURAL,FEMALE,2.3,.1,.6,12.31,Second,Secondary
YES,YES,YES,YES,NO,NO,YES,YES,SOME DIFFICULTY,4,12.7,102.4,RURAL,MALE,8,.3,.5,12.11,Poorest,Primary
NO,YES,YES,NO,YES,NO,NO,NO,SOME DIFFICULTY,2,10.3,85.8,RURAL,FEMALE,5.1,1,5.7,13.99,Poorest,Primary
YES,YES,YES,NO,YES,NO,YES,YES,NO DIFFICULTY,2,11.7,86.5,RURAL,FEMALE,5.6,7.9,33.7,15.64,Poorest,Primary
,,,,,,,,,0,7,69.40000000000001,RURAL,MALE,48.1,8.1,3.2,14.53,Middle,Secondary
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,2,11.6,88.59999999999999,RURAL,FEMALE,22.7,9,18.1,14.78,Second,Secondary
,,,,,,,,,0,8.6,71.40000000000001,RURAL,FEMALE,20.5,22,42.9,16.87,Poorest,Primary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,14.4,93.8,RURAL,MALE,29.4,38.8,56.3,16.37,Middle,Secondary
NO,YES,YES,NO,YES,NO,NO,NO,SOME DIFFICULTY,3,11.2,87.59999999999999,RURAL,FEMALE,1.4,1.3,13.9,14.6,Second,Secondary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Secondary
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,3,13.7,92.3,RURAL,FEMALE,14.7,26.3,56.4,16.08,Poorest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,12.7,89.09999999999999,RURAL,FEMALE,53.7,45.2,49,16,Second,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,12.1,89.7,RURAL,MALE,4.6,4.2,17.3,15.04,Richest,Higher secondary+
NO,YES,YES,NO,YES,NO,YES,YES,,1,10.5,81.7,RURAL,MALE,58.5,26.8,19.3,15.73,Middle,Secondary
YES,YES,YES,NO,YES,YES,YES,YES,A LOT OF DIFFICULTY,4,14.3,91.40000000000001,RURAL,FEMALE,0,7.1,76.3,17.12,Middle,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,SOME DIFFICULTY,4,15.2,109.3,RURAL,MALE,65.09999999999999,8.699999999999999,2.1,12.72,Middle,Primary
NO,NO,NO,NO,NO,NO,NO,NO,,1,6.8,68.2,RURAL,FEMALE,.2,.1,8,14.62,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,SOME DIFFICULTY,3,11.1,87,RURAL,MALE,.3,.6,9.4,14.67,Poorest,Primary
YES,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,4,16.6,107.4,RURAL,FEMALE,57.5,37.5,29.2,14.39,Richest,Higher secondary+
NO,YES,YES,NO,YES,NO,NO,NO,SOME DIFFICULTY,2,11,85.5,RURAL,MALE,10.2,3.9,13,15.05,Second,Secondary
YES,YES,YES,NO,YES,YES,YES,YES,SOME DIFFICULTY,2,9.9,81.2,RURAL,MALE,.5,.5,9.300000000000001,15.01,Poorest,Primary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
YES,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,14.4,94.7,RURAL,MALE,15.1,24.3,50.3,16.06,Second,Secondary
NO,YES,YES,NO,YES,NO,NO,NO,,1,9.300000000000001,77.2,RURAL,FEMALE,26.6,14.9,19.1,15.6,Poorest,Primary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,15.1,108.3,RURAL,MALE,48.8,6.5,2.7,12.87,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,YES,,1,8.1,76.8,RURAL,FEMALE,42.1,3.1,1.5,13.73,Second,Primary
,,,,,,,,,0,9.300000000000001,72.40000000000001,RURAL,MALE,27.5,36.8,55.4,17.74,Second,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,11.8,99.59999999999999,RURAL,FEMALE,20.9,.5,.5,11.89,Middle,Higher secondary+
NO,NO,NO,NO,NO,NO,NO,NO,,1,11.3,92.59999999999999,RURAL,MALE,99.8,65.40000000000001,1.2,13.18,Poorest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,10.4,74.7,RURAL,MALE,6.9,36.8,76.59999999999999,18.64,Fourth,Secondary
,,,,,,,,,0,3.2,41.7,RURAL,FEMALE,0,8.699999999999999,99.90000000000001,18.4,Second,Primary
YES,YES,YES,NO,NO,YES,YES,YES,SOME DIFFICULTY,3,11.9,90.40000000000001,RURAL,MALE,6.2,3.1,10.7,14.56,Poorest,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,12.4,91.2,RURAL,MALE,69.09999999999999,25.4,16.8,14.91,Second,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,9.9,88.7,RURAL,MALE,2.5,.1,.4,12.58,Poorest,Secondary
NO,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,2,10.4,80.90000000000001,RURAL,MALE,.4,1.3,21.8,15.89,Poorest,Primary
NO,YES,YES,NO,YES,NO,NO,NO,,1,10.1,79.5,RURAL,FEMALE,44,31.7,32,15.98,Poorest,Secondary
